Rating,Note ID,Investment Amount,Term,Purchase Date,Payment Due Date,Payments Received,Principal Outstanding,Yield,Status,Sub Status
"AA",2288726-215,$25.000000,3 Years,2024-11-13,2025-02-08,$1.526907,$23.752544,7.0000000%,current,
"AA",2288225-61,$25.000000,3 Years,2024-11-12,2025-02-07,$1.583833,$23.808278,9.5000000%,current,
"AA",2293945-215,$25.000000,4 Years,2024-11-08,2025-02-06,$2.946782,$22.433242,8.7300000%,current,
"AA",2290095-65,$25.000000,2 Years,2024-11-08,2025-02-06,$2.990807,$22.287731,7.0000000%,current,
"AA",2290086-203,$25.000000,3 Years,2024-11-08,2025-02-06,$1.525550,$23.763250,7.0000000%,current,
"AA",2287760-375,$25.000000,5 Years,2024-11-08,2025-02-06,$0.996419,$24.335551,8.0000000%,current,
"AA",2288766-237,$25.000000,2 Years,2024-11-06,2025-02-04,$2.220167,$23.066133,6.9900000%,current,
"AA",2291707-271,$25.000000,3 Years,2024-11-04,2025-01-31,$1.525583,$23.763200,7.0000000%,current,
"AA",2287881-172,$25.000000,3 Years,2024-11-04,2025-01-31,$1.525584,$23.763208,7.0000000%,current,
"AA",2285708-143,$25.000000,5 Years,2024-11-04,2025-01-31,$0.998100,$24.336800,8.0700000%,current,
"AA",2290861-356,$25.000000,2 Years,2024-11-01,2025-01-30,$2.220142,$23.066383,6.9900000%,current,
"AA",2290852-279,$25.000000,2 Years,2024-11-01,2025-01-30,$2.220126,$23.066387,6.9900000%,current,
"AA",2285015-246,$25.000000,5 Years,2024-11-01,2025-01-30,$1.008551,$24.344307,8.5000000%,current,
"AA",2285631-157,$25.000000,3 Years,2024-10-30,2025-01-28,$1.552445,$23.784444,8.1600000%,current,
"AA",2285295-89,$25.000000,5 Years,2024-10-29,2025-02-18,$0.979255,$24.317171,7.2600000%,current,
"AA",2284548-238,$25.000000,4 Years,2024-10-28,2025-02-24,$1.216652,$24.138826,8.5800000%,current,
"AA",2284542-387,$25.000000,5 Years,2024-10-28,2025-02-24,$1.037882,$24.364477,9.6900000%,current,
"AA",2282573-151,$25.000000,3 Years,2024-10-28,2025-02-24,$1.525535,$23.763429,7.0000000%,current,
"AA",2282564-152,$25.000000,4 Years,2024-10-28,2025-02-24,$1.253549,$24.159144,10.0900000%,current,
"AA",2283945-390,$25.000000,3 Years,2024-10-25,2025-02-23,$1.569951,$23.797951,8.9100000%,current,
"AA",2282144-231,$25.000000,3 Years,2024-10-25,2025-02-23,$1.525573,$23.763362,7.0000000%,current,
"AA",2287408-222,$25.000000,5 Years,2024-10-24,2025-02-22,$1.501239,$24.007423,8.1800000%,current,
"AA",2287126-248,$25.000000,3 Years,2024-10-24,2025-02-22,$2.288782,$23.141435,7.0000000%,current,
"AA",2285692-133,$25.000000,3 Years,2024-10-22,2025-02-18,$2.288792,$23.141417,7.0000000%,current,
"AA",2281776-276,$25.000000,4 Years,2024-10-22,2025-02-18,$1.825193,$23.706192,8.5800000%,current,
"AA",2281443-279,$25.000000,4 Years,2024-10-21,2025-02-17,$15.197934,$10.236874,8.8800000%,current,
